2和暦,3西暦コード,4タイトル,5版種類,6数量,7書誌事項,8形態分類,9内容分類,10地名,12目録番号,16所蔵機関（名称）,年号,閏,月,日
安政5年,18580099099,〔名古屋魚の棚伊勢町西山本屋久助菓子所引札〕,木版,１枚,13.8×8.8　羽子板に「つくは根」と字の書いた模様あり,Ｗ,7,尾張,16-A00-6010-1-44,東京大学総合図書館-A00-6010-1-44,安政５,,,
安政6年1月,18590001099,〔都々逸７首摺物〕,木版,１枚,12.6×17.0　庫祐（印で高景）画、浪花丁の竹本義太夫、神田の陶里、両国の玄評、板橋の松女等の作者名あり、包紙には「大黒まひ」（印で歌沢）とあり,,11,江戸,16-A00-6010-1-45,東京大学総合図書館-A00-6010-1-45,安政６,,1,
安政5年,18580099099,〔御用御多葉粉所葉屋六兵衛店引札〕,木版,１枚,10.0×5.0　無類司、国府の印あり,Ｗ,7,不明,16-A00-6010-1-46,東京大学総合図書館-A00-6010-1-46,安政５,,,
安政5年,18580099099,〔オランダ語印章〕,,１枚,4.8×5.5　立っているライオン図とNAHLの４アルファベットあり,,3,外国,16-A00-6010-1-47,東京大学総合図書館-A00-6010-1-47,安政５,,,
安政5年,18580099099,〔諸流大森筑前玉翠堂引札〕,木版,１枚,4.5×1.3,Ｗ,7,尾張,16-A00-6010-1-48,東京大学総合図書館-A00-6010-1-48,安政５,,,
安政5年,18580099099,〔名古屋本町７丁目加々見屋半助茶所引札〕,木版,１枚,4.5×2.7,Ｗ,7,尾張,16-A00-6010-1-49,東京大学総合図書館-A00-6010-1-49,安政５,,,
安政5年,18580099099,〔晴雲堂引札〕,木版,１枚,3.7×1.0,Ｗ,7,尾張？,16-A00-6010-1-50,東京大学総合図書館-A00-6010-1-50,安政５,,,
安政6年1月,18590001099,〔都々逸７首摺物〕,木版,１枚,11.0×15.0　庫祐（印で高景）画、ポタポタ主人、雛谷、長福太夫、ゆたか、八十八等の作者名あり、包紙には「ひきそめ」とあり,,11,江戸,16-A00-6010-1-51,東京大学総合図書館-A00-6010-1-51,安政６,,1,
安政6年1月,18590001099,〔月次兼題〕,木版,１枚,24.0×11.0　松塘庵評、「景品呈上」、「毎月２０日締、７点已上丁摺、２０日後着ノ分翌月へ追加、但シ無料御ゆるし、翌月７日返草」とあり、巻元翠秀連、集所札之辻晴月堂、ゴフク丁３丁目松塘庵,θ,10,尾張,16-A00-6010-1-52,東京大学総合図書館-A00-6010-1-52,安政６,,1,
安政6年3月11日,18590003011,〔書画会案内〕,木版,１枚,15.2×19.4　於竹ケ鼻本覚寺、会主武山霞岳、集所竹ケ鼻新町亀屋新助、名古屋本町２丁目揮雲堂、補助風外他２７名,Ｗ,10,尾張,16-A00-6010-1-53,東京大学総合図書館-A00-6010-1-53,安政６,,3,11
安政5年,18580099099,〔朱印９顆〕,,９枚,中島孟平２枚、会心亭印、柳田氏記、石黒良策、双松園記、鈴木容蔵、木村良周、宮田三雄,,10,尾張,16-A00-6010-1-54,東京大学総合図書館-A00-6010-1-54,安政５,,,
安政6年2月12日,18590002012,〔詩歌連俳書画会案内〕,木版,１枚,19.4×29.5　於名古屋極楽寺、会主学樵二村森房、男森條、幹事月岱、春岳、清渓、共樵、南景、九儀、清秋、月耕、月甫、寿観、玄明、寿鳳、補助京清暉他、展玩集所名古屋本町２丁目揮雲堂三右衛門、同京町通桑名町東へ入山田屋儀平、包紙あり,Ｗ,10,尾張,16-A00-6010-1-55,東京大学総合図書館-A00-6010-1-55,安政６,,2,12
安政5年,18580099099,南京唐針引札,木版,原形不詳,「大極上」とあり、大ちやぼ、中ちやぼ、小ちやぼ、もめんつき、きぬゑりしめ、きぬ、大くけ、つなし、つむぎぐけ、つむき、きぬくけ、みそ、もめんゑりしめと針の１３種名称あり,Ｗ,7,尾張,16-A00-6010-1-56,東京大学総合図書館-A00-6010-1-56,安政５,,,
安政5年,18580099099,〔名古屋玉屋町きせる師むら田和市店引札〕,木版,１枚,12.3×3.0,Ｗ,7,尾張,16-A00-6010-1-57,東京大学総合図書館-A00-6010-1-57,安政５,,,
安政5年,18580099099,〔をりや四兵衛店引札〕,木版,１枚,3.7×1.2,Ｗ,7,尾張？,16-A00-6010-1-58,東京大学総合図書館-A00-6010-1-58,安政５,,,
安政5年,18580099099,〔伊藤保住店引札〕,木版,１枚,3.5×1.0,Ｗ,7,尾張？,16-A00-6010-1-59,東京大学総合図書館-A00-6010-1-59,安政５,,,
安政5年,18580099099,〔小網町２丁目伊勢屋吉右衛門□□散引札〕,木版,１枚,5.7×4.6　「元祖金袋」とあり,Ｗ,7,江戸,16-A00-6010-1-60,東京大学総合図書館-A00-6010-1-60,安政５,,,
安政5年,18580099099,〔小網町２丁目よろひのわたし伊勢吉引札〕,木版,１枚,4.6×4.5　「にせうりはみがき」御注意の文句あり,Ｗ,7,江戸,16-A00-6010-1-61,東京大学総合図書館-A00-6010-1-61,安政５,,,
安政5年,18580099099,〔名古屋桜ノ町桜屋平兵衛菓子所店引札〕,木版,１枚,5.1×3.6,Ｗ,7,尾張,16-A00-6010-1-62,東京大学総合図書館-A00-6010-1-62,安政５,,,
安政6年3月5日,18590003005,〔花月庵評兼題〕,木版,１枚,11.8×15.3　届所晴月堂、巻本花水、菊外、題花鳥風月、頭木綿一反、油半切２００丁、「３月５日締不延、其月中ニ返草」とあり,,10,尾張,16-A00-6010-1-63,東京大学総合図書館-A00-6010-1-63,安政６,,3,5
安政5年,18580099099,〔熱田二の鳥居前上製つくはね引札〕,木版,１枚,11.2×7.4　６５は対となっているのか？,Ｗ,7,尾張,16-A00-6010-1-64,東京大学総合図書館-A00-6010-1-64,安政５,,,
安政5年,18580099099,〔こたつに入る娘に飛雁の図〕,木版,１枚,12.1×7.1　歌が書かれているが、消えかかって判読不能、あるいは６４と対のものか？,,7,尾張？,16-A00-6010-1-65,東京大学総合図書館-A00-6010-1-65,安政５,,,
安政6年1月,18590001099,〔大阪日本ばし北西え入客舎金国堂引札〕,木版,１枚,17.5×17.0　安政５年２月２５日の大火で焼失したが、再建なったのを報知したもの、以前牧百峰が六橋閣と名づけてくれたことを記している、御泊り２５０文、昼飯１３０文、６７（芝居）を参照のこと,Ｗ,7,大阪,16-A00-6010-1-66,東京大学総合図書館-A00-6010-1-66,安政６,,1,
安政6年1月,18590001099,〔大阪竹田中角其他諸芝居類焼後正月より復興につき口伸〕,木版,１枚,17.0×24.2　角芝居東隣り芝居茶屋よど屋治兵衛・日本橋北詰西へ入宿屋金国堂連名のもの、６６（営業）を参照のこと、角芝居・中芝居の配役名あり,Ｗ,11,大阪,16-A00-6010-1-67,東京大学総合図書館-A00-6010-1-67,安政６,,1,
安政5年,18580099099,〔拳をうつ図６点〕,木版,６枚,3.2×2.7　同じ大きさのもの６枚,,15,尾張？,16-A00-6010-1-68,東京大学総合図書館-A00-6010-1-68,安政５,,,
安政5年,18580099099,〔名産浜名納豆取次所名古屋門前町三河屋吉兵衛店引札〕,木版,１枚,6.4×6.4　根元三州吉田本町合羽屋利右衛門とあり,Ｗ,7,尾張,16-A00-6010-1-69,東京大学総合図書館-A00-6010-1-69,安政５,,,
安政5年,18580099099,〔京都御幸町通三条下り町丹波屋利兵衛呉服染物誂所引札〕,木版,１枚,5.5×4.0,Ｗ,7,京都,16-A00-6010-1-70,東京大学総合図書館-A00-6010-1-70,安政５,,,
安政5年,18580099099,対山堂引札,木版,１枚,4.5×1.4,Ｗ,7,尾張？,16-A00-6010-1-71,東京大学総合図書館-A00-6010-1-71,安政５,,,
安政5年,18580099099,〔揮雲堂印章〕,,１枚,6.7×6.7　揮雲堂は名古屋本町２丁目の書画筆墨店,Ｗ,10,尾張,16-A00-6010-1-72,東京大学総合図書館-A00-6010-1-72,安政５,,,
安政5年,18580099099,〔玉嶋東雲堂引札〕,木版,１枚,4.4×1.4,Ｗ,7,大阪,16-A00-6010-1-73,東京大学総合図書館-A00-6010-1-73,安政５,,,
安政5年,18580099099,〔江戸大伝馬２丁目地はり御きせる司むらた六ひやうへ店引札〕,木版,１枚,23.6×3.9　「御用所」、「うけ合正札付」、「御誂御望次第仕候」とあり,Ｗ,7,江戸,16-A00-6010-1-74,東京大学総合図書館-A00-6010-1-74,安政５,,,
安政5年8月22日,18580008022,〔詩歌連俳書画会案内〕,木版,１枚,18.5×24.7　於尾州西御坊、「為先師法眼梅山翁追善」、会主梅仙若林興、執事雪香斉社中、展観集所古沢玉林堂（京）、松下園（大坂）、扇面亭（江戸）、松本政之助（長崎）、山田屋儀平（名古屋）、香米堂（名古屋）、社盟・和致芳・衆香林鼎鐫,Ｗ,10,尾張,16-A00-6010-1-75,東京大学総合図書館-A00-6010-1-75,安政５,,8,22
安政5年,18580099099,〔尾州津嶋吾妻屋万蔵御用御麸引札〕,木版,１枚,5.0×3.6,Ｗ,7,尾張,16-A00-6010-1-76,東京大学総合図書館-A00-6010-1-76,安政５,,,
安政5年,18580099099,順風館監製琢記玉雪貢牋紙引札,木版,１枚,6.0×1.2,Ｗ,7,尾張？,16-A00-6010-1-77,東京大学総合図書館-A00-6010-1-77,安政５,,,
安政5年,18580099099,〔尾州清須北市場種物屋喜八店引札〕,木版,１枚,5.0×4.0,Ｗ,7,尾張,16-A00-6010-1-78,東京大学総合図書館-A00-6010-1-78,安政５,,,
安政5年,18580099099,〔宇治精製某品引札〕,木版,１枚,3.9×1.1,Ｗ,7,山城,16-A00-6010-1-79,東京大学総合図書館-A00-6010-1-79,安政５,,,
安政5年,18580099099,〔名古屋伝馬町升屋半三郎挽茶売捌所引札〕,木版,１枚,4.5×2.7,Ｗ,7,尾張,16-A00-6010-1-80,東京大学総合図書館-A00-6010-1-80,安政５,,,
安政5年,18580099099,〔名古屋本町３丁目万□取次所小牧飛脚朝日屋兵助店引札〕,木版,１枚,4.8×3.1,Ｗ,7,尾張,16-A00-6010-1-81,東京大学総合図書館-A00-6010-1-81,安政５,,,
安政5年,18580099099,〔名古屋江川町一瓢園菓子司引札〕,木版,１枚,4.5×3.0,Ｗ,7,尾張,16-A00-6010-1-82,東京大学総合図書館-A00-6010-1-82,安政５,,,
安政5年,18580099099,〔名古屋京町通諸町吉良屋正続菓子所引札〕,木版,１枚,5.1×3.5,Ｗ,7,尾張,16-A00-6010-1-83,東京大学総合図書館-A00-6010-1-83,安政５,,,
安政5年,18580099099,蜂屋御枝柿引札,木版,１枚,13.7×4.5,Ｗ,7,美濃,16-A00-6010-1-84,東京大学総合図書館-A00-6010-1-84,安政５,,,
安政5年,18580099099,蘭方洗ひ布巾引札,木版,１枚,15.2×22.5　本家長崎桜町吉野屋弥六、売弘所名古屋若宮前大嶋屋与兵衛他市内１４軒、一ト筋代１６４文,Ｗ,7,尾張,16-A00-6010-1-85,東京大学総合図書館-A00-6010-1-85,安政５,,,
安政5年,18580099099,清正香引札,木版,２枚,4.9×4.4　２枚、但し内容は異る、江戸深川森下町谷□屋正兵衛、元祖金袋とあり,Ｗ,3,江戸,16-A00-6010-1-86,東京大学総合図書館-A00-6010-1-86,安政５,,,
安政5年,18580099099,〔美濃笠松本町和泉屋義智菓子所引札〕,木版,１枚,4.4×3.0,Ｗ,7,美濃,16-A00-6010-1-87,東京大学総合図書館-A00-6010-1-87,安政５,,,
安政5年,18580099099,五明引札,木版,１枚,6.4×3.7,Ｗ,7,尾張？,16-A00-6010-1-88,東京大学総合図書館-A00-6010-1-88,安政５,,,
安政5年,18580099099,〔名古屋巾下江川町蓬莱屋徳三郎大白かる焼引札〕,木版,１枚,8.5×6.7,Ｗ,7,尾張,16-A00-6010-1-89,東京大学総合図書館-A00-6010-1-89,安政５,,,
安政5年,18580099099,〔名古屋伝馬町８丁目□□□□御紅所引札〕,木版,１枚,8.2×6.0,Ｗ,7,尾張,16-A00-6010-1-90,東京大学総合図書館-A00-6010-1-90,安政５,,,
安政5年,18580099099,極上エヒセンソウート引札,木版,１枚,16.3×8.4　ENGELSCH ZOUT、OWARI NAGOJA FONMATI、ISEJA GENSITIとあり、また「正味壹斤」とあり　ソウートはオランダ語で塩のこと,Ｗ,7,尾張,16-A00-6010-1-91,東京大学総合図書館-A00-6010-1-91,安政５,,,
安政6年1月,18590001099,〔知多郡衣浦有脇神谷本店製銘酒松楽引札〕,木版,１枚,18.1×19.5　駄卸小売共名古屋桑名町２丁目加見屋常三郎店にておこなっている旨記載あり,Ｗ,7,尾張,16-A00-6010-1-92,東京大学総合図書館-A00-6010-1-92,安政６,,1,
安政5年,18580099099,人参三蔵円引札,木版,１枚,6.6×6.3　大坂鰻谷三休橋筋御免調合所法橋吉野五運,Ｗ,3,大阪,16-A00-6010-1-93,東京大学総合図書館-A00-6010-1-93,安政５,,,
安政5年,18580099099,〔桑名船場中村屋八十吉名物漬物引札〕,木版,１枚,6.3×5.0,Ｗ,7,伊勢,16-A00-6010-1-94,東京大学総合図書館-A00-6010-1-94,安政５,,,
安政5年,18580099099,煉羊羹引札,木版,１枚,6.6×2.9,Ｗ,7,尾張？,16-A00-6010-1-95,東京大学総合図書館-A00-6010-1-95,安政５,,,
安政5年,18580099099,〔名古屋樽屋町泉屋万助菓子所引札〕,木版,１枚,4.0×2.7,Ｗ,7,尾張,16-A00-6010-1-96,東京大学総合図書館-A00-6010-1-96,安政５,,,
安政5年,18580099099,〔尾張伊藤圭介之記印章〕,,１枚,4.1×2.9,,10,尾張,16-A00-6010-1-97,東京大学総合図書館-A00-6010-1-97,安政５,,,
安政5年,18580099099,本家香煎引札,木版,１枚,5.2×4.1　京都祇園原了郭（製）,Ｗ,7,京都,16-A00-6010-1-98,東京大学総合図書館-A00-6010-1-98,安政５,,,
安政5年,18580099099,〔名古屋魚の棚七間町東へ入花菱屋庄兵衛店引札〕,木版,１枚,3.7×2.4,Ｗ,7,尾張,16-A00-6010-1-99,東京大学総合図書館-A00-6010-1-99,安政５,,,
安政5年,18580099099,〔三河吉田本町合羽屋製なつとう引札〕,木版,１枚,3.6×3.0,Ｗ,7,三河,16-A00-6010-1-100,東京大学総合図書館-A00-6010-1-100,安政５,,,
安政6年4月6日,18590004006,〔名古屋桑名町２丁目知多郡酒売捌所加見屋常三郎店開店口演〕,木版,１枚,15.8×20.5　１升に付、松楽印２匁７分、鶴亀印２匁,Ｗ,7,尾張,16-A00-6010-1-101,東京大学総合図書館-A00-6010-1-101,安政６,,4,6
安政5年,18580099099,〔江戸神田明神前通坂下三ツ角あさだ長ゑもんあさだもぐさ引札〕,木版,２枚,11.6×6.0　２枚、但し袋の表と裏か？一面には忌日が記載されている,Ｗ,3,江戸,16-A00-6010-1-102,東京大学総合図書館-A00-6010-1-102,安政５,,,
安政5年,18580099099,〔名古屋本町５丁目京屋清続菓子司引札〕,木版,１枚,6.5×4.2　大黒豆とあり,Ｗ,7,尾張,16-A00-6010-1-103,東京大学総合図書館-A00-6010-1-103,安政５,,,
安政5年,18580099099,〔名古屋本町１２丁目丸屋佐右衛門砂糖類引札〕,木版,１枚,7.0×4.5,Ｗ,7,尾張,16-A00-6010-1-104,東京大学総合図書館-A00-6010-1-104,安政５,,,
安政5年,18580099099,〔名古屋巾下押切町菱屋佐平太白興米引札〕,木版,１枚,7.7×9.1,Ｗ,7,尾張,16-A00-6010-1-105,東京大学総合図書館-A00-6010-1-105,安政５,,,
安政6年1月,18590001099,大わらひ草小じ附うかれよし此,木版,１枚,18.9×25.7　半水作とあり、若干色をつかっている,θ,11,尾張？,16-A00-6010-1-106,東京大学総合図書館-A00-6010-1-106,安政６,,1,
安政5年,18580099099,〔江戸浅くさ御くらまへ通地張きせる師黒舟町本店村田小兵衛店引札〕,木版,１枚,26.1×3.6,Ｗ,7,江戸,16-A00-6010-1-107,東京大学総合図書館-A00-6010-1-107,安政５,,,
安政5年,18580099099,御納戸引札,木版,１枚,4.4×1.6,Ｗ,7,尾張？,16-A00-6010-1-108,東京大学総合図書館-A00-6010-1-108,安政５,,,
安政5年,18580099099,〔信州飯田伝馬町米綿取次会所引札〕,木版,１枚,5.2×4.3,Ｗ,7,信濃,16-A00-6010-1-109,東京大学総合図書館-A00-6010-1-109,安政５,,,
安政5年,18580099099,〔信州飯嶋公□製松命香引札〕,木版,１枚,5.1×3.6,Ｗ,3,信濃,16-A00-6010-1-110,東京大学総合図書館-A00-6010-1-110,安政５,,,
安政5年,18580099099,のし摺物,木版,１枚,5.0×5.5,,7,尾張？,16-A00-6010-1-111,東京大学総合図書館-A00-6010-1-111,安政５,,,
安政5年,18580099099,〔京朱座極製朱一匁切手〕,木版,１枚,4.3×4.0,,7,京都,16-A00-6010-1-112,東京大学総合図書館-A00-6010-1-112,安政５,,,
安政5年,18580099099,伊吹御薬艾引札,木版,１枚,4.2×3.0,Ｗ,7,近江,16-A00-6010-1-113,東京大学総合図書館-A00-6010-1-113,安政５,,,
安政5年,18580099099,〔摂州灘至改所花鳥引札〕,木版,１枚,3.3×3.7,Ｗ,7,摂津,16-A00-6010-1-114,東京大学総合図書館-A00-6010-1-114,安政５,,,
安政6年1月,18590001099,〔安政６己未年月次発句合兼題〕,木版,１枚,23.8×16.7　尾府青樹園如仙宗匠評、７句１組入価３５孔、２組以上３０穴ツツ、１組以下并不料不受、巻本東陽連、玉句届所本町札之辻晴月堂卯兵衛、坂上町翠屋政右衛門、毎月１５日締、翌月９日までに返草、遅着月送り、正月ははつ春、左義長、余寒、柳、鶯,,10,尾張,16-A00-6010-1-115,東京大学総合図書館-A00-6010-1-115,安政６,,1,
安政6年1月,18590001099,〔未年摺物発句合兼題〕,木版,１枚,14.0×20.5　正月之部乱題、大鶴庵仙翁宗医評、巻頭大半紙一束并直紙一帖、巻軸宗医筆掛物、１０点頭之評巻、其余１０点直紙一帖、７点５句へ短册一葉、尤７点以上絵入奉書摺物ニ致一統え呈上仕候、玉句届所本町札之辻晴月堂、巻本宅にて、巻本華夕、竹庭、喜泉、富三、車琴,,10,尾張,16-A00-6010-1-116,東京大学総合図書館-A00-6010-1-116,安政６,,1,
安政5年,18580099099,〔名古屋魚の店筋呉服町東角万屋新吉各種せんべい等菓子引札〕,木版,１枚,8.5×11.0,Ｗ,7,尾張,16-A00-6010-1-117,東京大学総合図書館-A00-6010-1-117,安政５,,,
